Country,File,clusterid,latitude,longitude
Liberia,Flags/Liberia.png,9,5.7499721,-9.3658524
Libya,Flags/Libya.png,9,26.8234472,18.1236723
Liechtenstein,Flags/Liechtenstein.png,0,47.1416307,9.5531527
Lithuania,Flags/Lithuania.png,0,55.3500003,23.7499997
Luxembourg,Flags/Luxembourg.png,0,49.8158683,6.1296751
Madagascar,Flags/Madagascar.png,0,-18.9249604,46.4416422
Malawi,Flags/Malawi.png,9,-13.2687204,33.9301963
Malaysia,Flags/Malaysia.png,9,4.5693754,102.2656823
Maldives,Flags/Maldives.png,0,3.7203503,73.2244152
Mali,Flags/Mali.png,0,16.3700359,-2.2900239
Malta,Flags/Malta.png,0,35.8885993,14.4476911
Marshall Islands,Flags/Marshall_Islands.png,2,8.9995549,168.0002575
Mauritania,Flags/Mauritania.png,0,20.2540382,-9.2399263
Mauritius,Flags/Mauritius.png,0,-20.2759451,57.5703566
Mexico,Flags/Mexico.png,9,23.6585116,-102.0077097
Moldova,Flags/Moldova.png,1,47.2879608,28.5670941
Monaco,Flags/Monaco.png,0,43.7323492,7.4276832
Mongolia,Flags/Mongolia.png,9,46.8250388,103.8499736
Montenegro,Flags/Montenegro.png,9,42.9868853,19.5180992
Morocco,Flags/Morocco.png,9,31.1728205,-7.3362482
Mozambique,Flags/Mozambique.png,9,-19.302233,34.9144977
Myanmar,Flags/Myanmar.png,1,17.1750495,95.9999652
Namibia,Flags/Namibia.png,2,-23.2335499,17.3231107
Nauru,Flags/Nauru.png,0,-0.5252306,166.9324426
Nepal,Flags/Nepal.png,0,28.1083929,84.0917139
Netherlands,Flags/Netherlands.png,0,52.2434979,5.6343227
New Zealand,Flags/New_Zealand.png,3,-41.5000831,172.8344077
Nicaragua,Flags/Nicaragua.png,0,12.6090157,-85.2936911
Niger,Flags/Niger.png,9,17.7356214,9.3238432
Nigeria,Flags/Nigeria.png,0,9.6000359,7.9999721
Niue,Flags/Niue.png,3,-19.0536414,-169.861341
North Korea,Flags/North_Korea.png,9,40.3736611,127.0870417
North Macedonia,Flags/North_Macedonia.png,2,41.6171214,21.7168387
Norway,Flags/Norway.png,3,61.1529386,8.7876653
Oman,Flags/Oman.png,0,21.0000287,57.0036901
Pakistan,Flags/Pakistan.png,0,30.3308401,71.247499
Palau,Flags/Palau.png,9,5.3783537,132.9102573
Palestine,Flags/Palestine.png,9,31.462420950000002,34.262716572130714
Panama,Flags/Panama.png,3,8.559559,-81.1308434
Papua New Guinea,Flags/Papua_New_Guinea.png,2,-5.6816069,144.2489081
Paraguay,Flags/Paraguay.png,9,-23.3165935,-58.1693445
People's Republic of China,Flags/People's_Republic_of_China.png,9,35.000074,104.999927
Peru,Flags/Peru.png,0,-6.8699697,-75.0458515
Philippines,Flags/Philippines.png,9,12.7503486,122.7312101
Poland,Flags/Poland.png,0,52.215933,19.134422
Portugal,Flags/Portugal.png,9,39.6621648,-8.1353519
Qatar,Flags/Qatar.png,0,25.3336984,51.2295295
Republic of Abkhazia,Flags/Republic_of_Abkhazia.png,9,43.1500226,41.2299786
Republic of China,Flags/Republic_of_China.png,0,23.9739374,120.9820179
Republic of Congo,Flags/Republic_of_Congo.png,0,-2.9814344,23.8222636
Romania,Flags/Romania.png,0,45.9852129,24.6859225
Russia,Flags/Russia.png,0,64.6863136,97.7453061
Rwanda,Flags/Rwanda.png,0,-1.9646631,30.0644358
Sahrawi Arab Democratic Republic,Flags/Sahrawi_Arab_Democratic_Republic.png,0,23.340694499999998,-13.129132651166511
Saint Kitts and Nevis,Flags/Saint_Kitts_and_Nevis.png,2,17.250512,-62.6725973
Saint Lucia,Flags/Saint_Lucia.png,1,13.8250489,-60.975036
Saint Vincent and Grenadines,Flags/Saint_Vincent_and_Grenadines.png,9,12.90447,-61.2765569
Samoa,Flags/Samoa.png,0,-13.7693895,-172.12005
San Marino,Flags/San_Marino.png,7,43.9458623,12.458306
Saudi Arabia,Flags/Saudi_Arabia.png,0,25.6242618,42.3528328
Senegal,Flags/Senegal.png,1,14.4750607,-14.4529612
Serbia,Flags/Serbia.png,9,44.1534121,20.55144
Seychelles,Flags/Seychelles.png,2,-4.6574977,55.4540146
Sierra Leone,Flags/Sierra_Leone.png,0,8.6400349,-11.8400269
Singapore,Flags/Singapore.png,0,1.357107,103.8194992
Slovakia,Flags/Slovakia.png,9,48.7411522,19.4528646
Slovenia,Flags/Slovenia.png,9,46.1199444,14.8153333
Solomon Islands,Flags/Solomon_Islands.png,0,-8.7053941,159.1070693851845
Somalia,Flags/Somalia.png,0,8.3676771,49.083416
Somaliland,Flags/Somaliland.png,9,9.7277474,46.0099127
South Africa,Flags/South_Africa.png,9,-28.8166236,24.991639
South Korea,Flags/South_Korea.png,2,36.638392,127.6961188
South Ossetia,Flags/South_Ossetia.png,0,42.3476344,44.0979465
South Sudan,Flags/South_Sudan.png,9,7.8699431,29.6667897
Sri Lanka,Flags/Sri_Lanka.png,9,7.877395849999999,80.66247852355892
Sudan,Flags/Sudan.png,9,14.5844444,29.4917691
Suriname,Flags/Suriname.png,9,4.1413025,-56.0771187
Sweden,Flags/Sweden.png,0,59.6749712,14.5208584
Switzerland,Flags/Switzerland.png,9,46.7985624,8.2319736
Syria,Flags/Syria.png,9,34.6401861,39.0494106
São Tomé and Príncipe,Flags/São_Tomé_and_Príncipe.png,9,0.9713095,7.02255
Tajikistan,Flags/Tajikistan.png,9,38.6281733,70.8156541
Tanzania,Flags/Tanzania.png,2,-6.5247123,35.7878438
Thailand,Flags/Thailand.png,0,14.8971921,100.83273
The Gambia,Flags/The_Gambia.png,0,13.470062,-15.4900464
Togo,Flags/Togo.png,1,8.7800265,1.0199765
Tonga,Flags/Tonga.png,0,-19.9160819,-175.202642
Transnistria,Flags/Transnistria.png,0,46.9905668,29.4772511
Trinidad and Tobago,Flags/Trinidad_and_Tobago.png,2,10.7466905,-61.0840075
Tunisia,Flags/Tunisia.png,9,33.8439408,9.400138
Turkey,Flags/Turkey.png,9,38.9597594,34.9249653
Turkish Republic of Northern Cyprus,Flags/Turkish_Republic_of_Northern_Cyprus.png,9,35.2245313,33.6252379
Turkmenistan,Flags/Turkmenistan.png,0,39.3763807,59.3924609
Tuvalu,Flags/Tuvalu.png,3,-8.6405212,179.1582918181797
Uganda,Flags/Uganda.png,9,1.5333554,32.2166578
Ukraine,Flags/Ukraine.png,0,49.4871968,31.2718321
United Arab Emirates,Flags/United_Arab_Emirates.png,0,24.0002488,53.9994829
United Kingdom,Flags/United_Kingdom.png,3,54.7023545,-3.2765753
United States,Flags/United_States.png,2,39.7837304,-100.445882
Uruguay,Flags/Uruguay.png,2,-32.8755548,-56.0201525
Uzbekistan,Flags/Uzbekistan.png,9,41.32373,63.9528098
Vanuatu,Flags/Vanuatu.png,9,-16.5255069,168.1069154
Vatican City,Flags/Vatican_City.png,0,41.903411,12.4528527
Venezuela,Flags/Venezuela.png,0,8.0018709,-66.1109318
Vietnam,Flags/Vietnam.png,1,15.9266657,107.9650855
Yemen,Flags/Yemen.png,0,16.3471243,47.8915271
Zambia,Flags/Zambia.png,0,-14.5189121,27.5589884
Zimbabwe,Flags/Zimbabwe.png,1,-18.4554963,29.7468414
